"employee_id","department_name","gender","job_title"
621,SURFACE TREATMENT,male,
622,SURFACE TREATMENT,male,
623,ASSEMBLY,male,
29455,PRODUCTION,male,
29456,PRODUCTION,male,
624,ASSEMBLY,male,
625,ASSEMBLY,male,
626,ASSEMBLY,male,
628,ASSEMBLY,male,
629,ASSEMBLY,male,
29457,PRODUCTION,male,
29458,PRODUCTION,male,
29459,PRODUCTION,male,
29460,PRODUCTION,male,
29417,PRODUCTION,male,
29418,PRODUCTION,male,
29461,PRODUCTION,male,
29462,PRODUCTION,male,
29464,PRODUCTION,male,
29465,PRODUCTION,male,
29466,PRODUCTION,male,
29467,PRODUCTION,male,
51723,,,
29468,PRODUCTION,male,
29469,PRODUCTION,male,
2293,QUALITY,male,
3543,ASSEMBLY,female,
2993,ASSEMBLY,male,
29470,PRODUCTION,male,
2994,ASSEMBLY,male,
2995,ASSEMBLY,male,
29471,PRODUCTION,male,
51720,ADMINISTRATION,female,Contract Labour - Direct
9594,DISPATCH,male,
2996,ASSEMBLY,male,
2997,SURFACE TREATMENT,female,
3275,ASSEMBLY,male,
1616,SURFACE TREATMENT,male,
2826,,male,
3525,ASSEMBLY,male,
2998,QUALITY,female,
29472,PRODUCTION,male,
47523,,,
1615,SURFACE TREATMENT,male,
1617,SURFACE TREATMENT,male,
1618,ASSEMBLY,male,
1079,ASSEMBLY,male,
1080,ASSEMBLY,male,
1081,ASSEMBLY,male,
1082,ASSEMBLY,male,
1083,ASSEMBLY,male,
1084,ASSEMBLY,male,
29446,PRODUCTION,male,
29447,PRODUCTION,male,
29448,PRODUCTION,male,
29449,PRODUCTION,male,
29450,PRODUCTION,male,
29451,PRODUCTION,male,
713,ASSEMBLY,male,
29414,PRODUCTION,male,
29421,PRODUCTION,male,
2419,DISPATCH,male,
2420,ASSEMBLY,male,
2421,ASSEMBLY,male,
29452,PRODUCTION,male,
2423,SURFACE TREATMENT,male,
2424,SURFACE TREATMENT,male,
841,ASSEMBLY,male,
2425,SURFACE TREATMENT,male,
2426,ASSEMBLY,female,
2427,ASSEMBLY,male,
2428,SURFACE TREATMENT,female,
2429,ASSEMBLY,female,
2430,SURFACE TREATMENT,female,
2431,ASSEMBLY,male,
2432,ASSEMBLY,male,
2433,ASSEMBLY,male,
2434,ASSEMBLY,female,
2435,ASSEMBLY,male,
2436,ASSEMBLY,male,
2437,ASSEMBLY,male,
2438,ASSEMBLY,female,
2439,ASSEMBLY,male,
2440,ASSEMBLY,male,
2441,ASSEMBLY,male,
2442,ASSEMBLY,male,
2443,ASSEMBLY,male,
2444,ASSEMBLY,male,
29453,PRODUCTION,male,
29423,PRODUCTION,male,
29422,PRODUCTION,male,
29463,PRODUCTION,male,
2500,SECURITY,male,
2501,SECURITY,female,
2502,SECURITY,female,
2503,SECURITY,male,
2504,SECURITY,male,
2505,SECURITY,male,
2506,SECURITY,male,
2507,SECURITY,male,
2508,SECURITY,male,
2509,SECURITY,male,
2510,SECURITY,male,
2511,SECURITY,male,
2512,SECURITY,male,
950,ASSEMBLY,male,
916,SURFACE TREATMENT,male,
917,SURFACE TREATMENT,male,
918,QUALITY,male,
737,ASSEMBLY,male,
702,ASSEMBLY,male,
703,ASSEMBLY,male,
705,ASSEMBLY,male,
706,ASSEMBLY,male,
707,ASSEMBLY,male,
708,ASSEMBLY,male,
709,ASSEMBLY,male,
710,ASSEMBLY,female,
711,ASSEMBLY,male,
712,ASSEMBLY,male,
715,ASSEMBLY,female,
716,ASSEMBLY,female,
717,ADMINISTRATION,male,
718,SURFACE TREATMENT,male,
719,ASSEMBLY,male,
720,ASSEMBLY,male,
721,QUALITY,male,
722,ASSEMBLY,male,
723,ASSEMBLY,male,
724,ASSEMBLY,female,
725,ASSEMBLY,male,
726,ASSEMBLY,male,
727,ASSEMBLY,male,
728,ASSEMBLY,male,
729,ASSEMBLY,male,
730,ASSEMBLY,male,
731,ASSEMBLY,male,
732,ASSEMBLY,male,
733,ASSEMBLY,male,
735,ASSEMBLY,male,
736,ASSEMBLY,male,
845,ASSEMBLY,male,
810,ASSEMBLY,male,
812,ASSEMBLY,male,
813,ASSEMBLY,male,
814,ASSEMBLY,female,
815,ASSEMBLY,female,
816,ASSEMBLY,female,
818,ASSEMBLY,male,
820,ASSEMBLY,female,
821,ASSEMBLY,male,
822,ASSEMBLY,male,
823,ASSEMBLY,male,
824,ASSEMBLY,male,
825,ASSEMBLY,male,
826,ASSEMBLY,male,
827,ASSEMBLY,male,
828,ASSEMBLY,female,
829,ASSEMBLY,male,
830,ASSEMBLY,male,
831,ASSEMBLY,male,
832,ASSEMBLY,male,
833,ASSEMBLY,male,
834,ASSEMBLY,male,
835,ASSEMBLY,male,
836,ASSEMBLY,male,
837,ASSEMBLY,male,
838,ASSEMBLY,male,
839,ASSEMBLY,male,
840,ASSEMBLY,male,
843,ASSEMBLY,male,
844,ASSEMBLY,male,
919,ASSEMBLY,male,
920,ASSEMBLY,male,
921,SURFACE TREATMENT,male,
922,SURFACE TREATMENT,male,
923,SURFACE TREATMENT,male,
819,ASSEMBLY,male,
925,QUALITY,female,
926,QUALITY,female,
927,SURFACE TREATMENT,male,
929,ASSEMBLY,male,
930,SURFACE TREATMENT,male,
931,SURFACE TREATMENT,male,
932,SURFACE TREATMENT,male,
933,SURFACE TREATMENT,male,
934,SURFACE TREATMENT,male,
935,SURFACE TREATMENT,male,
936,SURFACE TREATMENT,male,
937,SURFACE TREATMENT,male,
938,ASSEMBLY,male,
939,ASSEMBLY,male,
940,ASSEMBLY,male,
941,ASSEMBLY,male,
942,ASSEMBLY,male,
943,ASSEMBLY,male,
944,ASSEMBLY,male,
945,ASSEMBLY,male,
946,ASSEMBLY,male,
948,ASSEMBLY,male,
949,ASSEMBLY,male,
2513,SECURITY,male,
2514,SECURITY,male,
2515,SECURITY,male,
2516,SECURITY,male,
2517,SECURITY,male,
2518,SECURITY,male,
2519,SECURITY,male,
2520,SECURITY,male,
2521,SECURITY,male,
2522,SECURITY,male,
2523,SECURITY,male,
2524,SECURITY,male,
2525,SECURITY,male,
